> na_interpolate(data)
   day hour raining snowing temperature pressure
1    1    0   FALSE   FALSE    6.100000 100.3000
2    1    1   FALSE   FALSE    5.800000 100.7000
3    1    2   FALSE   FALSE    5.100000 100.8000
4    1    3   FALSE   FALSE    5.000000 100.9000
5    1    4   FALSE   FALSE    4.700000 100.7200
6    1    5   FALSE   FALSE    3.766667 100.5400
7    1    6   FALSE   FALSE    2.833333 100.3600
8    1    7   FALSE   FALSE    1.900000 100.1800
9    1    8   FALSE   FALSE    0.600000 100.0000
10   1    9   FALSE   FALSE    0.700000  99.9000
11   1   10   FALSE   FALSE    0.700000  99.8000
12   1   11   FALSE   FALSE    1.100000  99.6000
13   1   12   FALSE   FALSE    2.200000  99.6000
14   1   13   FALSE   FALSE    3.100000  99.5000
15   1   14   FALSE   FALSE    2.900000  99.7000
16   1   15    TRUE   FALSE    2.100000  99.7000
17   1   16    TRUE   FALSE    1.100000  99.8000
18   1   17   FALSE    TRUE    0.100000  99.8000
19   1   18   FALSE   FALSE    0.300000  99.9000
20   1   19   FALSE   FALSE   -0.100000 100.0000
21   1   20   FALSE   FALSE   -0.200000 100.1000
22   1   21   FALSE   FALSE   -0.900000 100.0000
23   1   22   FALSE   FALSE   -1.300000 100.1000
24   1   23   FALSE   FALSE   -2.300000 100.2000
25   2    0   FALSE   FALSE   -3.400000 100.2000
26   2    1   FALSE   FALSE   -4.500000 100.1000
27   2    2   FALSE   FALSE   -4.300000 100.1000
28   2    3   FALSE   FALSE   -4.100000 100.0000
29   2    4   FALSE   FALSE   -4.200000  99.9000
30   2    5   FALSE   FALSE   -4.900000 100.0000
31   2    6   FALSE   FALSE   -4.100000 100.0000
32   2    7   FALSE   FALSE   -3.650000 100.1000
33   2    8   FALSE   FALSE   -3.200000 100.3000
34   2    9   FALSE   FALSE   -2.900000 100.4000
35   2   10   FALSE   FALSE   -2.000000 100.4000
36   2   11   FALSE   FALSE   -1.100000 100.2000
37   2   12   FALSE   FALSE   -0.800000 100.1333
38   2   13   FALSE   FALSE   -0.300000 100.0667
39   2   14   FALSE   FALSE    0.100000 100.0000
40   2   15   FALSE   FALSE    0.300000 100.1000
41   2   16   FALSE   FALSE    0.700000 100.2000
42   2   17   FALSE   FALSE    0.500000 100.2000
43   2   18   FALSE   FALSE    0.100000 100.1000
44   2   19   FALSE   FALSE   -0.200000 100.0500
45   2   20   FALSE   FALSE   -0.700000 100.0000
46   2   21   FALSE   FALSE   -0.900000  99.9000
47   2   22   FALSE   FALSE   -0.900000  99.8000
48   2   23   FALSE   FALSE   -0.900000  99.9000


